15108 | 2024/03/09 00:00:57.455 | MainProcess | INFO | convert_2_files | verify_data | generate_excel_data::41 | message >>> Cleansing Data in Excel files to Dataframe..
15108 | 2024/03/09 00:00:57.467 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::112 | message >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/DocImage.txt'.
15108 | 2024/03/09 00:00:57.468 | MainProcess | INFO | convert_2_files | verify_data | generate_text_data::101 | message >>> Cleansing Data in Text files to Dataframe..
15108 | 2024/03/09 00:00:57.469 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::109 | message >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/ICAS-NCR.xlsx'.
15108 | 2024/03/09 00:00:57.469 | MainProcess | INFO | convert_2_files | verify_data | generate_excel_data::41 | message >>> Cleansing Data in Excel files to Dataframe..
15108 | 2024/03/09 00:00:57.476 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::109 | message >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/IIC.xlsx'.
15108 | 2024/03/09 00:00:57.477 | MainProcess | INFO | convert_2_files | verify_data | generate_excel_data::41 | message >>> Cleansing Data in Excel files to Dataframe..
15108 | 2024/03/09 00:00:57.479 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::112 | message >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/LDS-P_UserDetail.txt'.
15108 | 2024/03/09 00:00:57.479 | MainProcess | INFO | convert_2_files | verify_data | generate_text_data::101 | message >>> Cleansing Data in Text files to Dataframe..
15108 | 2024/03/09 00:00:57.480 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::109 | message >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/Lead-Management.xlsx'.
15108 | 2024/03/09 00:00:57.480 | MainProcess | INFO | convert_2_files | verify_data | generate_excel_data::41 | message >>> Cleansing Data in Excel files to Dataframe..
15108 | 2024/03/09 00:00:57.483 | MainProcess | INFO | convert_2_files | run_batch | get_data_files::109 | message >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/MOC.xlsx'.
15108 | 2024/03/09 00:00:57.484 | MainProcess | INFO | convert_2_files | verify_data | generate_excel_data::41 | message >>> Cleansing Data in Excel files to Dataframe..
15108 | 2024/03/09 00:00:57.488 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_tmp_file::127 | message >>> Write Data to Tmp files..
15108 | 2024/03/09 00:00:57.500 | MainProcess | INFO | convert_2_files | verify_data | validation_data::119 | message >>> Verify Changed information..
15108 | 2024/03/09 00:00:57.507 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_tmp_file::158 | message >>> Genarate Sheet_name: RUN_TIME_2 in Tmp files.
15108 | 2024/03/09 00:00:57.508 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_tmp_file::175 | message >>> No Change Rows: (2) in Tmp files.
15108 | 2024/03/09 00:00:57.509 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_tmp_file::175 | message >>> Removed Rows: (3) in Tmp files.
15108 | 2024/03/09 00:00:57.519 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_tmp_file::196 | message >>> Write to Tmp files status: successed.
15108 | 2024/03/09 00:00:57.520 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_target_file::206 | message >>> Write Data to Target files..
15108 | 2024/03/09 00:00:57.533 | MainProcess | INFO | convert_2_files | verify_data | append_target_data::170 | message >>> Append Target Data..
15108 | 2024/03/09 00:00:57.536 | MainProcess | INFO | convert_2_files | verify_data | validation_data::119 | message >>> Verify Changed information..
15108 | 2024/03/09 00:00:57.548 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_target_file::266 | message >>> No Change Rows: (8) in Target files.
15108 | 2024/03/09 00:00:57.549 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_target_file::266 | message >>> Removed Rows: (9) in Target files.
15108 | 2024/03/09 00:00:57.561 | MainProcess | INFO | convert_2_files | run_batch | write_data_to_target_file::273 | message >>> Write to Target Files status: successed.
15108 | 2024/03/09 00:00:57.561 | MainProcess | INFO | convert_2_files | main | __init__::31 | message >>> Stop Batch Date 2024-03-09

***************************************************************************************************************************

