convert_2_file::2024/03/07 17:18:45.455 | MainProcess | INFO | run_batch | get_data_files::112 | 15532 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/ADM.txt'.
convert_2_file::2024/03/07 17:18:45.455 | MainProcess | INFO | verify_data | generate_text_data::103 | 15532 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:18:45.456 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/BOS.xlsx'.
convert_2_file::2024/03/07 17:18:45.457 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.460 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/CUM.xls'.
convert_2_file::2024/03/07 17:18:45.461 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.463 | MainProcess | INFO | run_batch | get_data_files::112 | 15532 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/DocImage.txt'.
convert_2_file::2024/03/07 17:18:45.463 | MainProcess | INFO | verify_data | generate_text_data::103 | 15532 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:18:45.464 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/ICAS-NCR.xlsx'.
convert_2_file::2024/03/07 17:18:45.464 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.466 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/IIC.xlsx'.
convert_2_file::2024/03/07 17:18:45.466 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.468 | MainProcess | INFO | run_batch | get_data_files::112 | 15532 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/LDS-P_UserDetail.txt'.
convert_2_file::2024/03/07 17:18:45.468 | MainProcess | INFO | verify_data | generate_text_data::103 | 15532 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/07 17:18:45.468 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/Lead-Management.xlsx'.
convert_2_file::2024/03/07 17:18:45.468 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.471 | MainProcess | INFO | run_batch | get_data_files::109 | 15532 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/MOC.xlsx'.
convert_2_file::2024/03/07 17:18:45.471 | MainProcess | INFO | verify_data | generate_excel_data::41 | 15532 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/07 17:18:45.475 | MainProcess | INFO | run_batch | write_data_to_tmp_file::127 | 15532 >>> Write Data to Tmp files..
convert_2_file::2024/03/07 17:18:45.477 | MainProcess | INFO | run_batch | write_data_to_tmp_file::189 | 15532 >>> Inserted Rows: (1) in Tmp files.
convert_2_file::2024/03/07 17:18:45.478 | MainProcess | INFO | run_batch | write_data_to_tmp_file::189 | 15532 >>> Inserted Rows: (2) in Tmp files.
convert_2_file::2024/03/07 17:18:45.487 | MainProcess | INFO | run_batch | write_data_to_tmp_file::197 | 15532 >>> Write to Tmp files status: successed.
convert_2_file::2024/03/07 17:18:45.487 | MainProcess | INFO | run_batch | write_data_to_target_file::207 | 15532 >>> Write Data to Target files..
convert_2_file::2024/03/07 17:18:45.498 | MainProcess | INFO | verify_data | append_target_data::173 | 15532 >>> Append Target Data..
convert_2_file::2024/03/07 17:18:45.500 | MainProcess | INFO | verify_data | validation_data::121 | 15532 >>> Verify Changed information..
convert_2_file::2024/03/07 17:18:45.511 | MainProcess | INFO | run_batch | write_data_to_target_file::267 | 15532 >>> No Change Rows: (5) in Target files.
convert_2_file::2024/03/07 17:18:45.520 | MainProcess | INFO | run_batch | write_data_to_target_file::275 | 15532 >>> Write to Target Files status: successed.
convert_2_file::2024/03/07 17:18:45.520 | MainProcess | INFO | main | __init__::34 | 15532 >>> Stop Batch Date 2024-03-07
==============================================================================================================================================================

convert_2_file::2024/03/07 17:19:55.232 | MainProcess | INFO | main | __init__::21 | 28492 >>> Start Run Batch Date: 2024-03-07
convert_2_file::2024/03/07 17:19:55.232 | MainProcess | INFO | run_batch | wrapper_success_files::38 | 28492 >>> Check Success files..
