convert_2_file::2024/03/08 19:16:54.120 | MainProcess | INFO | main | __init__::18 | 19728 >>> Start Run Batch Date: 2024-03-08
convert_2_file::2024/03/08 19:16:54.121 | MainProcess | INFO | run_batch | wrapper_success_files::38 | 19728 >>> Check Success files..
convert_2_file::2024/03/08 19:16:54.121 | MainProcess | INFO | run_batch | wrapper_success_files::56 | 19728 >>> File found count 9 status: successed.
convert_2_file::2024/03/08 19:16:54.122 | MainProcess | INFO | run_batch | get_data_files::99 | 19728 >>> Get Data from files..
convert_2_file::2024/03/08 19:16:54.122 | MainProcess | INFO | run_batch | get_data_files::112 | 19728 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/ADM.txt'.
convert_2_file::2024/03/08 19:16:54.123 | MainProcess | INFO | verify_data | generate_text_data::103 | 19728 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/08 19:16:54.124 | MainProcess | INFO | run_batch | get_data_files::109 | 19728 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/BOS.xlsx'.
convert_2_file::2024/03/08 19:16:54.124 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19728 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/08 19:16:54.128 | MainProcess | INFO | run_batch | get_data_files::109 | 19728 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/CUM.xls'.
convert_2_file::2024/03/08 19:16:54.128 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19728 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/08 19:16:54.130 | MainProcess | INFO | run_batch | get_data_files::112 | 19728 >>> Read Text files: 'D:\Document\Coding\Project\convert_2_files\raw/DocImage.txt'.
convert_2_file::2024/03/08 19:16:54.130 | MainProcess | INFO | verify_data | generate_text_data::103 | 19728 >>> Cleansing Data in Text files to Dataframe..
convert_2_file::2024/03/08 19:16:54.131 | MainProcess | INFO | run_batch | get_data_files::109 | 19728 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/ICAS-NCR.xlsx'.
convert_2_file::2024/03/08 19:16:54.131 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19728 >>> Cleansing Data in Excel files to Dataframe..
convert_2_file::2024/03/08 19:16:54.133 | MainProcess | INFO | run_batch | get_data_files::109 | 19728 >>> Read Excel files: 'D:\Document\Coding\Project\convert_2_files\raw/IIC.xlsx'.
convert_2_file::2024/03/08 19:16:54.133 | MainProcess | INFO | verify_data | generate_excel_data::41 | 19728 >>> Cleansing Data in Excel files to Dataframe..
